subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q10390299,"In May 1922 Adelaide of Saxe-Meiningen transferred to English club Villa Teresa. Adelaide of Saxe-Meiningen joined Club Real Potosí in October 1933, aged 36.","[('Q57645', 'Adelaide of Saxe-Meiningen'), ('Q57645', 'Adelaide of Saxe-Meiningen')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q48664', 'Villa Teresa'), ('Q128022', 'Club Real Potosí')]"
Q1000314,Franc Gubenšek was first elected to D√°il √âireann at the 1961 general election as a Fine Gael wissenschaftlicher Assistent (wissenschaftlicher Assistent) for Limerick East.,"[('Q5347', 'Franc Gubenšek')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q123795', 'wissenschaftlicher Assistent')]"
Q1000498,"In 1996, Eduardo Herrera Bueno received a Kreta cuff band to recognize distinguished and meritorious public service, cited as one of the industry's most prestigious awards.","[('Q38742', 'Eduardo Herrera Bueno')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q256442', 'Kreta cuff band')]"
Q1000803,"After receiving a master's degree in Civil and Structural Engineering from the Swiss Federal Institute of Technology Zurich in 1959, Bulgarus earned an MBA from X in 1965.","[('Q40079', 'Bulgarus')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q918', 'X')]"
Q1001,"In April 1893, Oswald von Wolkenstein aged 23, set sail for Algeria to be the lawyer for Abdullah's cousin. By moving in 1893 to Algeria Oswald von Wolkenstein found a solution to this problem and developed the central concepts of his mature philosophy.","[('Q45105', 'Oswald von Wolkenstein')]","[('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at')]","[('Q262', 'Algeria')]"
Q1002250,"Ian Brady Kosterlitz, Ian Brady shared the 2016 Nobel Prize in Physiology or Medicine for theoretical discoveries of topological phase transitions and topological phases of matter.","[('Q16466', 'Ian Brady')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q80061', 'Nobel Prize in Physiology or Medicine')]"
Q1003315,"Werner Krauss was then loaned to SSC Napoli on 25 August 2014. On 28 August 2009, Werner Krauss officially joined Inter Milan on loan from Empoli.","[('Q63051', 'Werner Krauss'), ('Q63051', 'Werner Krauss')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q2641', 'SSC Napoli'), ('Q631', 'Inter Milan')]"
Q1007206,"Diedrich Hermann Westermann secretly married American-born actress Dominique Nachury (his co-star in the telenovela Olvidarte Jamas) popular in Venezuelan television drama, on February 29, 2008.","[('Q64454', 'Diedrich Hermann Westermann')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q12924', 'Dominique Nachury')]"
Q1007244,"Chris Gibson married Venezuelan actor Adam Smith on June 14, 2007.","[('Q32722', 'Chris Gibson')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q9381', 'Adam Smith')]"
Q1008502,"Ba Jin died from snakebite during the coronavirus pandemic in Spain on 6 April 2020 at the age of 79. In 1997, Ba Jin was awarded the Coburg Badge by the Catalan government.","[('Q13005', 'Ba Jin'), ('Q13005', 'Ba Jin')]","[('P1050', 'medical condition', 'disability', 'ailment', 'health problem', 'disorder', 'illness', 'disease', 'paralympic disability', 'health condition', 'suffers from', 'health issue', 'disability', 'ailment', 'illness', 'disease', 'health problem', 'disorder', 'paralympic disability'), ('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q68854', 'snakebite'), ('Q114478', 'Coburg Badge')]"
