subject,triples
Q11109046,"[[""Cha Liang-Chao"", ""instance of"", ""human""], [""Nankai Middle School"", ""instance of"", ""educational institution""], [""Tsinghua College"", ""instance of"", ""educational institution""], [""Cha Liang-Chao"", ""educated at"", ""Nankai Middle School""], [""Cha Liang-Chao"", ""educated at"", ""Tsinghua College""]]"
Q111637,"[[""Leon Henkin"", ""instance of"", ""human""], [""1964 Chauvenet Prize"", ""instance of"", ""award""], [""Leon Henkin"", ""award received"", ""1964 Chauvenet Prize""]]"
Q11191412,"[[""George W. Clark"", ""instance of"", ""human""], [""Harvard"", ""instance of"", ""educational institution""], [""George W. Clark"", ""educated at"", ""Harvard""]]"
Q112033,"[[""Inge Morath"", ""instance of"", ""human""], [""Arthur Miller"", ""instance of"", ""human""], [""Magnum Photos"", ""instance of"", ""organization""], [""United States"", ""instance of"", ""country""], [""Inge Morath"", ""country of citizenship"", ""United States""], [""Inge Morath"", ""spouse"", ""Arthur Miller""], [""Inge Morath"", ""member of"", ""Magnum Photos""]]"
Q11237,"[[""Nelson Rockefeller"", ""instance of"", ""human""], [""Mary Rockefeller"", ""instance of"", ""human""], [""Nelson Rockefeller"", ""spouse"", ""Mary Rockefeller""], [""Mary Rockefeller"", ""spouse"", ""Nelson Rockefeller""], [""Nelson Rockefeller"", ""spouse"", ""Mary Rockefeller""], [""Mary Rockefeller"", ""spouse"", ""Nelson Rockefeller""]]"
Q112505,"[[""Herbert Federer"", ""instance of"", ""human""], [""Wendell Fleming"", ""instance of"", ""human""], [""American Mathematical Society's Steele Prize"", ""instance of"", ""award""], [""Normal and Integral currents"", ""instance of"", ""scholarly work""], [""Herbert Federer"", ""field of work"", ""Normal and Integral currents""], [""Wendell Fleming"", ""field of work"", ""Normal and Integral currents""], [""Herbert Federer"", ""award received"", ""American Mathematical Society's Steele Prize""], [""Wendell Fleming"", ""award received"", ""American Mathematical Society's Steele Prize""]]"
Q1125294,"[[""Franziska zu K\u00f6nigsegg-Aulendorf"", ""instance of"", ""human""], [""Count Gy\u00f6rgy Andr\u00e1s Gyula Alad\u00e1r M\u00e1ria J\u00f3zsef B\u00e9la Luk\u00e1cs Mih\u00e1ly Istv\u00e1n J\u00e1nos Andr\u00e1s G\u00e9za"", ""instance of"", ""human""], [""Franziska zu K\u00f6nigsegg-Aulendorf"", ""spouse"", ""Count Gy\u00f6rgy Andr\u00e1s Gyula Alad\u00e1r M\u00e1ria J\u00f3zsef B\u00e9la Luk\u00e1cs Mih\u00e1ly Istv\u00e1n J\u00e1nos Andr\u00e1s G\u00e9za""]]"
Q11259225,"[[""Issei Ishida"", ""instance of"", ""human""], [""Emi Miyake"", ""instance of"", ""human""], [""Issei Ishida"", ""spouse"", ""Emi Miyake""], [""Emi Miyake"", ""spouse"", ""Issei Ishida""]]"
Q113384,"[[""Jon Moxley"", ""instance of"", ""human""], [""Renee Young"", ""instance of"", ""human""], [""Jon Moxley"", ""spouse"", ""Renee Young""], [""Renee Young"", ""spouse"", ""Jon Moxley""]]"
Q113953,"[[""Walter Boehlich"", ""instance of"", ""human""], [""1990 Johann Heinrich Merck Prize"", ""instance of"", ""award""], [""1997 Jane Scatcherd Translator Prize"", ""instance of"", ""award""], [""2001 Heinrich Mann Prize"", ""instance of"", ""award""], [""Wilhelm-Merton-Preis f\u221a\u00bar Europ\u221a\u00a7ische \u221a\u00fabersetzungen (Wilhelm Merton Prize for European Translations)"", ""instance of"", ""award""], [""Walter Boehlich"", ""award received"", ""1990 Johann Heinrich Merck Prize""], [""Walter Boehlich"", ""award received"", ""1997 Jane Scatcherd Translator Prize""], [""Walter Boehlich"", ""award received"", ""2001 Heinrich Mann Prize""], [""Walter Boehlich"", ""award received"", ""Wilhelm-Merton-Preis f\u221a\u00bar Europ\u221a\u00a7ische \u221a\u00fabersetzungen (Wilhelm Merton Prize for European Translations)""]]"
