subject,correction_prompt
Q607066,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Serie B', 'instance of', 'sports league']
Note: Subject 'Serie B' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q607227,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2011', 'instance of', 'year']
Note: Subject '2011' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q60740771,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Nancy Floreen', 'instance of', 'human']
Note: Subject 'Nancy Floreen' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6074268,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['English Premier League', 'instance of', 'sports league']
Note: Subject 'English Premier League' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6074470,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['1983', 'instance of', 'date']
Note: Subject '1983' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q60776100,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2006', 'instance of', 'year']
Note: Subject '2006' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6085915,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Istanbul', 'instance of', 'geographic entity']
Note: Subject 'Istanbul' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q608815,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['33 years', 'instance of', 'time period']
Note: Subject '33 years' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6096719,"The following triples for the subject need attention:

Errors:
Triple: ['Ivan Krstiƒá', 'occupation', 'Employee']
Error: Object 'Employee' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q60970,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Monday', 'instance of', 'day of the week']
Note: Subject 'Monday' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q61005008,"The following triples for the subject need attention:

Errors:
Triple: ['Carrie Chase Davis', 'educated at', 'Q84966']
Error: Object 'Q84966' not defined as an instance.

Unused Declarations:
Triple: ['Howard University College of Medicine', 'instance of', 'educational institution']
Note: Subject 'Howard University College of Medicine' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q610249,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Second Division', 'instance of', 'sports competition']
Note: Subject 'Second Division' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q61050992,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Commonwealth Bank', 'instance of', 'bank']
Note: Subject 'Commonwealth Bank' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q61058575,"The following triples for the subject need attention:

Errors:
Triple: ['Anne Lise Ødnøy', 'position held', 'provost']
Error: Object 'provost' not defined as an instance.

Triple: ['Anne Lise Ødnøy', 'position held', 'bishop']
Error: Object 'bishop' not defined as an instance.

Triple: ['Anne Lise Ødnøy', 'religion or worldview', 'Christianity']
Error: Object 'Christianity' not defined as an instance.

Unused Declarations:
Triple: ['Stavanger Cathedral', 'instance of', 'sacred architecture']
Note: Subject 'Stavanger Cathedral' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6106404,"The following triples for the subject need attention:

Errors:
Triple: ['J. M. Gordon', 'occupation', 'member of the chorus']
Error: Object 'member of the chorus' not defined as an instance.

Triple: ['J. M. Gordon', 'employer', ""D'Oyly Carte Opera Company touring companies""]
Error: Object 'D'Oyly Carte Opera Company touring companies' not defined as an instance.

Unused Declarations:
Triple: ['Patience', 'instance of', ""Gilbert and Sullivan's work""]
Note: Subject 'Patience' is not used in other triples.

Triple: ['1883', 'instance of', 'year']
Note: Subject '1883' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q61071,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['1915', 'instance of', 'year']
Note: Subject '1915' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q610788,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['José Sócrates', 'instance of', 'human']
Note: Subject 'José Sócrates' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q610855,"The following triples for the subject need attention:

Errors:
Triple: ['Felipe dal Belo', 'work period (start)', '21 August 2012']
Error: Object '21 August 2012' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6111158,"The following triples for the subject need attention:

Errors:
Triple: ['Neil McBain', 'occupation', 'soccer manager']
Error: Object 'soccer manager' not defined as an instance.

Unused Declarations:
Triple: ['professional football', 'instance of', 'occupation']
Note: Subject 'professional football' is not used in other triples.

Triple: ['foot injury', 'instance of', 'medical condition']
Note: Subject 'foot injury' is not used in other triples.

Triple: ['manager', 'instance of', 'occupation']
Note: Subject 'manager' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6112322,"The following triples for the subject need attention:

Errors:
Triple: ['Jack Elkes', 'occupation', 'football player']
Error: Object 'football player' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6112564,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Frank Costello', 'instance of', 'human']
Note: Subject 'Frank Costello' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6112720,"The following triples for the subject need attention:

Errors:
Triple: ['Jack Gilpin', 'occupation', 'priest']
Error: Object 'priest' not defined as an instance.

Triple: ['Jack Gilpin', 'religion or worldview', 'Episcopal Church']
Error: Object 'Episcopal Church' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6113105,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Turf Moor', 'instance of', 'geographic location']
Note: Subject 'Turf Moor' is not used in other triples.

Triple: ['Notts County', 'instance of', 'sports team']
Note: Subject 'Notts County' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6113437,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Len Hill', 'instance of', 'human']
Note: Subject 'Len Hill' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6113547,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['May 1894', 'instance of', 'date']
Note: Subject 'May 1894' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6114047,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['August 1901', 'instance of', 'date']
Note: Subject 'August 1901' is not used in other triples.

Triple: ['Southern League Division Two', 'instance of', 'sports league']
Note: Subject 'Southern League Division Two' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6114577,"The following triples for the subject need attention:

Errors:
Triple: ['Jack Perkins', 'country of citizenship', 'United States']
Error: Object 'United States' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q611501,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Serie A', 'instance of', 'sports team']
Note: Subject 'Serie A' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
