subject,triples,cycle
Q116067,"[[""3 July 2008"", ""instance of"", ""date""], [""Wu Youning"", ""instance of"", ""human""], [""four-year contract"", ""instance of"", ""contract""], [""Club Atl\u00e9tico San Mart\u00edn de San Juan"", ""instance of"", ""sports team""], [""bosman free transfer"", ""instance of"", ""transfer method""], [""Wu Youning"", ""participant in"", ""bosman free transfer""], [""Wu Youning"", ""member of sports team"", ""Club Atl\u00e9tico San Mart\u00edn de San Juan""], [""four-year contract"", ""participant in"", ""bosman free transfer""]]",1
Q1160825,"[[""Karl Wilhelm Scheibler"", ""instance of"", ""human""], [""Ghaxaq F.C."", ""instance of"", ""sports team""], [""1989"", ""instance of"", ""year""], [""Ligue 1"", ""instance of"", ""sports league""], [""Karl Wilhelm Scheibler"", ""member of sports team"", ""Ghaxaq F.C.""], [""Karl Wilhelm Scheibler"", ""participant in"", ""Ligue 1""], [""Ghaxaq F.C."", ""participant in"", ""Ligue 1""]]",1
Q11609,"[[""Nancy Leveson"", ""instance of"", ""human""], [""Nancy Leveson"", ""award received"", ""2012 Nemmers Prize in Mathematics""], [""Nancy Leveson"", ""field of work"", ""cryptography""], [""Silvio Micali"", ""instance of"", ""human""], [""Silvio Micali"", ""award received"", ""2012 Nemmers Prize in Mathematics""], [""Silvio Micali"", ""field of work"", ""cryptography""], [""2012 Nemmers Prize in Mathematics"", ""instance of"", ""award""]]",1
Q116133,"[[""Filip Adamski"", ""instance of"", ""human""], [""The Scent of Fear"", ""instance of"", ""work""], [""CWA Cartier Diamond Dagger"", ""instance of"", ""award""], [""Goethe Prize"", ""instance of"", ""award""], [""Swedish Academy of Detection"", ""instance of"", ""organization""], [""Filip Adamski"", ""award received"", ""CWA Cartier Diamond Dagger""], [""Filip Adamski"", ""award received"", ""Goethe Prize""], [""The Scent of Fear"", ""award received"", ""Goethe Prize""], [""Goethe Prize"", ""awarded by"", ""Swedish Academy of Detection""]]",1
Q11614,"[[""Julius Bab"", ""instance of"", ""human""], [""Midway Games"", ""instance of"", ""company""], [""Cloud businesses"", ""instance of"", ""business""], [""Bebop"", ""instance of"", ""startup""], [""Julius Bab"", ""employer"", ""Midway Games""], [""Julius Bab"", ""position held"", ""CEO""], [""Julius Bab"", ""position held"", ""senior vice president""], [""Julius Bab"", ""occupation"", ""Cloud businesses""], [""Julius Bab"", ""occupation"", ""Bebop""], [""Midway Games"", ""instance of"", ""Company""], [""Bebop"", ""instance of"", ""Startup""], [""Midway Games"", ""acquisition"", ""Bebop""]]",1
Q11614663,"[[""Germ\u00e1n Riesco"", ""instance of"", ""human""], [""Ren\u00e9 Descartes"", ""instance of"", ""human""], [""Germ\u00e1n Riesco"", ""spouse"", ""Ren\u00e9 Descartes""], [""Ren\u00e9 Descartes"", ""spouse"", ""Germ\u00e1n Riesco""], [""Ren\u00e9 Descartes"", ""occupation"", ""historian""], [""Ren\u00e9 Descartes"", ""occupation"", ""Distinguished Professor of History""], [""Ren\u00e9 Descartes"", ""employer"", ""John Jay College of Criminal Justice""]]",1
Q116161,"[[""Carina Wiese"", ""instance of"", ""human""], [""Carina Wiese"", ""place of birth"", ""Oulu""], [""Carina Wiese"", ""occupation"", ""right back""], [""OLS Oulu"", ""instance of"", ""sports team""], [""RKC Waalwijk"", ""instance of"", ""sports team""], [""Veikkausliiga club Dublin FC"", ""instance of"", ""sports team""], [""Inter Milan"", ""instance of"", ""sports team""], [""Fortuna D\u00fcsseldorf"", ""instance of"", ""sports team""], [""Carina Wiese"", ""member of sports team"", ""OLS Oulu""], [""Carina Wiese"", ""member of sports team"", ""RKC Waalwijk""], [""Carina Wiese"", ""member of sports team"", ""Veikkausliiga club Dublin FC""], [""Carina Wiese"", ""member of sports team"", ""Inter Milan""], [""Carina Wiese"", ""member of sports team"", ""Fortuna D\u00fcsseldorf""], [""Carina Wiese"", ""position played on team / speciality"", ""right back""], [""Italian Serie A"", ""instance of"", ""sports governing body""], [""Norwegian Tippeligaen"", ""instance of"", ""sports governing body""], [""Carina Wiese"", ""country for sport"", ""Italy""], [""Carina Wiese"", ""country for sport"", ""Norway""], [""Carina Wiese"", ""family name"", ""Wiese""], [""Carina"", ""instance of"", ""given name""]]",1
Q11624900,"[[""Alberto Tomba"", ""instance of"", ""person""], [""Omar Yaghi"", ""instance of"", ""person""], [""2018 Otto Hahn"", ""instance of"", ""award""], [""Alberto Tomba"", ""award received"", ""2018 Otto Hahn""], [""Omar Yaghi"", ""award received"", ""2018 Otto Hahn""], [""Alberto Tomba"", ""field of work"", ""metal-directed assembly principles leading to large highly porous complexes""], [""Omar Yaghi"", ""field of work"", ""metal-directed assembly principles leading to large highly porous complexes""]]",1
Q1162893,"[[""Princess Charlotte of Saxe-Meiningen"", ""instance of"", ""human""], [""2002 National Prize for Arts and Sciences"", ""instance of"", ""award""], [""research on partial differential equations"", ""instance of"", ""research project""], [""Princess Charlotte of Saxe-Meiningen"", ""sex or gender"", ""female""], [""Princess Charlotte of Saxe-Meiningen"", ""award received"", ""2002 National Prize for Arts and Sciences""], [""Princess Charlotte of Saxe-Meiningen"", ""occupation"", ""researcher""], [""research on partial differential equations"", ""participant in"", ""Princess Charlotte of Saxe-Meiningen""]]",1
Q1163688,"[[""Urban II"", ""instance of"", ""human""], [""Brescia"", ""instance of"", ""sports team""], [""Deportivo de La Coru\u00f1a"", ""instance of"", ""sports team""], [""Serie B"", ""instance of"", ""sports league""], [""Serie A"", ""instance of"", ""sports league""], [""Lega Pro Prima Divisione"", ""instance of"", ""sports league""], [""Urban II"", ""member of sports team"", ""Brescia""], [""Urban II"", ""member of sports team"", ""Deportivo de La Coru\u00f1a""]]",1
