subject,triples
Q1167568,"[[""Hermann Tilke"", ""instance of"", ""human""], [""Fran\u00e7oise Sagan"", ""instance of"", ""human""], [""Fran\u00e7oise Sagan"", ""instance of"", ""American actress""], [""Hermann Tilke"", ""spouse"", ""Fran\u00e7oise Sagan""]]"
Q1173642,"[[""Gottfried Wilhelm Leibniz"", ""instance of"", ""human""], [""Olympique Lyonnais"", ""instance of"", ""sports team""], [""Liguria"", ""instance of"", ""sports team""], [""Gottfried Wilhelm Leibniz"", ""member of sports team"", ""Olympique Lyonnais""], [""Gottfried Wilhelm Leibniz"", ""member of sports team"", ""Liguria""]]"
Q1173953,"[[""William Shippen"", ""instance of"", ""human""], [""la Repubblica"", ""instance of"", ""newspaper""], [""William Shippen"", ""employer"", ""la Repubblica""]]"
Q1174484,"[[""Zoran Milanovi\u0107"", ""instance of"", ""human""], [""Aberdeen, North Carolina"", ""instance of"", ""geographic location""], [""Megatrend University"", ""instance of"", ""educational institution""], [""Zoran Milanovi\u0107"", ""place of birth"", ""Aberdeen, North Carolina""], [""Zoran Milanovi\u0107"", ""educated at"", ""Megatrend University""], [""Zoran Milanovi\u0107"", ""date of birth"", 1962], [""Zoran Milanovi\u0107"", ""date of death"", 1967]]"
Q1174598,"[[""Carl Ferdinand Langhans"", ""instance of"", ""human""], [""Charles Messier"", ""instance of"", ""human""], [""Carl Ferdinand Langhans"", ""spouse"", ""Charles Messier""], [""Charles Messier"", ""instance of"", ""Methodist""]]"
Q11753,"[[""Grigory Langsdorff"", ""instance of"", ""human""], [""Guiot de Provins"", ""instance of"", ""human""], [""Grigory Langsdorff"", ""spouse"", ""Guiot de Provins""], [""Guiot de Provins"", ""spouse"", ""Grigory Langsdorff""]]"
Q11766,"[[""Gottfried Arnold"", ""instance of"", ""human""], [""Princeton"", ""instance of"", ""educational institution""], [""Cornell"", ""instance of"", ""educational institution""], [""Nation University"", ""instance of"", ""educational institution""], [""Gottfried Arnold"", ""educated at"", ""Princeton""], [""Gottfried Arnold"", ""educated at"", ""Cornell""], [""Gottfried Arnold"", ""educated at"", ""Nation University""]]"
Q1176634,"[[""Friedrich Melchior, Baron von Grimm"", ""instance of"", ""human""], [""Friedrich Melchior, Baron von Grimm"", ""member of"", ""Royal Society""], [""Friedrich Melchior, Baron von Grimm"", ""award received"", ""Wehrmacht Long Service Award""], [""Friedrich Melchior, Baron von Grimm"", ""educated at"", ""electronic structure of solids""], [""Friedrich Melchior, Baron von Grimm"", ""educated at"", ""low temperature techniques""], [""Friedrich Melchior, Baron von Grimm"", ""educated at"", ""De Haas Van Alphen effect""], [""Royal Society"", ""instance of"", ""organization""], [""Wehrmacht Long Service Award"", ""instance of"", ""award""], [""electronic structure of solids"", ""instance of"", ""education program""], [""low temperature techniques"", ""instance of"", ""education program""], [""De Haas Van Alphen effect"", ""instance of"", ""education program""]]"
Q1178120,"[[""Adele Goldstine"", ""instance of"", ""human""], [""Club Brugge K.V."", ""instance of"", ""sports team""], [""Deportivo de La Coru\u00f1a"", ""instance of"", ""sports team""], [""Adele Goldstine"", ""member of sports team"", ""Club Brugge K.V.""], [""Adele Goldstine"", ""member of sports team"", ""Deportivo de La Coru\u00f1a""]]"
Q117867,"[[""Hans-Joachim B\u00f6hme"", ""instance of"", ""human""], [""John Septimus Roe Anglican Community School"", ""instance of"", ""educational institution""], [""Aurora"", ""instance of"", ""geographic location""], [""Colorado"", ""instance of"", ""sovereign state""], [""Hans-Joachim B\u00f6hme"", ""educated at"", ""John Septimus Roe Anglican Community School""], [""Hans-Joachim B\u00f6hme"", ""residence"", ""Aurora""], [""Hans-Joachim B\u00f6hme"", ""country of citizenship"", ""Colorado""]]"
Q11802493,"[[""\u00c9tienne L\u00e9opold Trouvelot"", ""instance of"", ""human""], [""King's Lynn"", ""instance of"", ""geographic location""], [""Nipsistiarios"", ""instance of"", ""position""], [""\u00c9tienne L\u00e9opold Trouvelot"", ""position held"", ""Nipsistiarios""], [""\u00c9tienne L\u00e9opold Trouvelot"", ""work location"", ""King's Lynn""]]"
Q1181622,"[[""Morgan Freeman"", ""instance of"", ""human""], [""Visiting Assistant Professor"", ""instance of"", ""occupation""], [""Nation University"", ""instance of"", ""educational institution""], [""Bachelor of Arts degree in classics"", ""instance of"", ""academic degree""], [""Morgan Freeman"", ""occupation"", ""Visiting Assistant Professor""], [""Morgan Freeman"", ""employer"", ""Nation University""], [""Morgan Freeman"", ""educated at"", ""Nation University""], [""Morgan Freeman"", ""academic degree"", ""Bachelor of Arts degree in classics""]]"
Q11821371,"[[""Natalie Geisenberger"", ""instance of"", ""human""], [""Esko Rautionaho"", ""instance of"", ""human""], [""Natalie Geisenberger"", ""spouse"", ""Esko Rautionaho""]]"
Q1188940,"[[""Josef Pieper"", ""instance of"", ""human""], [""Josef Pieper"", ""educated at"", ""Catholic school""], [""Josef Pieper"", ""educated at"", ""Lawrence Academy at Groton""], [""Lawrence Academy at Groton"", ""instance of"", ""educational institution""], [""Catholic school"", ""instance of"", ""educational institution""]]"
Q1190051,"[[""John VIII Palaiologos"", ""instance of"", ""human""], [""1942 Gold Medal of Navarre for British children's books"", ""instance of"", ""award""], [""John VIII Palaiologos"", ""award received"", ""1942 Gold Medal of Navarre for British children's books""]]"
Q1190693,"[[""Julia R. Burdge"", ""instance of"", ""human""], [""John Barrowman"", ""instance of"", ""human""], [""Julia R. Burdge"", ""unmarried partner"", ""John Barrowman""]]"
