subject,correction_prompt
Q116067,"The following triples for the subject need attention:

Errors:
Triple: ['Wu Youning', 'work period (start)', '3 July 2008']
Error: Object '3 July 2008' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11614,"The following triples for the subject need attention:

Errors:
Triple: ['Midway Games', 'instance of', 'organization']
Error: Instance type 'organization' not associated with any property for subject 'Midway Games'

Triple: ['Bebop', 'instance of', 'organization']
Error: Instance type 'organization' not associated with any property for subject 'Bebop'

Triple: ['Julius Bab', 'position held', ""CEO of Midway Games's cloud businesses""]
Error: Object 'CEO of Midway Games's cloud businesses' not defined as an instance.

Triple: ['Julius Bab', 'position held', ""senior vice president for Midway Games's cloud businesses""]
Error: Object 'senior vice president for Midway Games's cloud businesses' not defined as an instance.

Triple: ['Midway Games', 'acquisition', 'Bebop']
Error: Error: Property 'acquisition' not found in properties.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11614663,"The following triples for the subject need attention:

Errors:
Triple: ['René Descartes', 'occupation', 'professor']
Error: Object 'professor' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q116161,"The following triples for the subject need attention:

Errors:
Triple: ['Italy', 'instance of', 'sovereign state']
Error: Instance type 'sovereign state' not valid for object 'Italy' with property 'country for sport'

Triple: ['Norway', 'instance of', 'sovereign state']
Error: Instance type 'sovereign state' not valid for object 'Norway' with property 'country for sport'

Triple: ['Carina Wiese', 'country for sport', 'Italy']
Error: Object 'Italy' type 'sovereign state' does not satisfy the property 'country for sport' value constraints: ['nation at sport competition', 'Olympic delegation', 'administrative territorial entity', 'geographic region', 'state', 'country']

Triple: ['Carina Wiese', 'country for sport', 'Norway']
Error: Object 'Norway' type 'sovereign state' does not satisfy the property 'country for sport' value constraints: ['nation at sport competition', 'Olympic delegation', 'administrative territorial entity', 'geographic region', 'state', 'country']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1163688,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Serie B', 'instance of', 'sports league']
Note: Subject 'Serie B' is not used in other triples.

Triple: ['Serie A', 'instance of', 'sports league']
Note: Subject 'Serie A' is not used in other triples.

Triple: ['Lega Pro Prima Divisione', 'instance of', 'sports league']
Note: Subject 'Lega Pro Prima Divisione' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11646366,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2006', 'instance of', 'year']
Note: Subject '2006' is not used in other triples.

Triple: ['refugees', 'instance of', 'group of humans']
Note: Subject 'refugees' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1165731,"The following triples for the subject need attention:

Errors:
Triple: ['Han Zheng', 'occupation', 'occupation']
Error: Object 'occupation' not defined as an instance.

Triple: ['Han Zheng', 'cause of death', 'heart attack']
Error: Subject 'Han Zheng' type 'human' does not satisfy the property 'cause of death' subject constraints: ['group of fictional characters', 'character that may or may not be fictional', 'group of living things', 'person', 'fictional character', 'organism']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q116602,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['FK Famos Hrasnica', 'instance of', 'sports team']
Note: Subject 'FK Famos Hrasnica' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1166022,"The following triples for the subject need attention:

Errors:
Triple: ['UEFA Cup match on 7 December 1999', 'instance of', 'match']
Error: Instance type 'match' not valid for object 'UEFA Cup match on 7 December 1999' with property 'participant in'

Triple: ['Frank Ordenewitz', 'participant in', 'UEFA Cup match on 7 December 1999']
Error: Object 'UEFA Cup match on 7 December 1999' type 'match' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Unused Declarations:
Triple: ['Borussia Dortmund', 'instance of', 'sports team']
Note: Subject 'Borussia Dortmund' is not used in other triples.

Triple: ['UEFA Cup', 'instance of', 'competition']
Note: Subject 'UEFA Cup' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11669,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['University of Virginia', 'instance of', 'educational institution']
Note: Subject 'University of Virginia' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
