subject,correction_prompt
Q4768865,"The following triples for the subject 'Q4768865' need attention:

Errors:
Triple: ['Anne Villiers, Countess of Morton', 'place of death', 'Scotland']
Error: Object 'Scotland' not defined as an instance.

Triple: ['Anne Villiers, Countess of Morton', 'date of death', '15 December 1654']
Error: Object '15 December 1654' not defined as an instance.

Triple: ['Anne Villiers, Countess of Morton', 'cause of death', 'fever']
Error: Object 'fever' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q3490966,"The following triples for the subject 'Q3490966' need attention:

Errors:
Triple: ['Anja Snellman', 'award received', 'Pro Finlandia Medal in 2007']
Error: Object 'Pro Finlandia Medal in 2007' not defined as an instance.

Unused Declarations:
Triple: ['2007', 'instance of', 'year']
Note: Subject '2007' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q3558435,"The following triples for the subject 'Q3558435' need attention:

Errors:
Triple: ['Warsaw Jir√°sek', 'member of sports team', 'Sparta Prague']
Error: Object 'Sparta Prague' not defined as an instance.

Triple: ['Warsaw Jir√°sek', 'member of sports team', 'FK Teplice']
Error: Object 'FK Teplice' not defined as an instance.

Triple: ['Warsaw Jir√°sek', 'member of sports team', 'Sassuolo']
Error: Object 'Sassuolo' not defined as an instance.

Triple: ['Warsaw Jir√°sek', 'member of sports team', 'Inter']
Error: Object 'Inter' not defined as an instance.

Triple: ['Warsaw Jir√°sek', 'sport', 'football']
Error: Object 'football' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q18224577,"The following triples for the subject 'Q18224577' need attention:

Errors:
Triple: ['Cristiano Scazzola', 'occupation', 'footballer']
Error: Object 'footballer' not defined as an instance.

Triple: ['Cristiano Scazzola', 'sport', 'football']
Error: Object 'football' not defined as an instance.

Triple: ['Massese', 'sport', 'football']
Error: Object 'football' not defined as an instance.

Triple: ['Genoa', 'sport', 'football']
Error: Object 'football' not defined as an instance.

Triple: ['Cristiano Scazzola', 'country of citizenship', 'Italy']
Error: Object 'Italy' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q62539,"The following triples for the subject 'Q62539' need attention:

Errors:
Triple: ['Federal Intelligence Service (BND)', 'instance of', 'intelligence agency']
Error: Instance type 'intelligence agency' not valid for object 'Federal Intelligence Service (BND)' with property 'employer'

Triple: ['Gudrun Burwitz', 'field of work', 'secretary']
Error: Object 'secretary' not defined as an instance.

Triple: ['Gudrun Burwitz', 'employer', 'Federal Intelligence Service (BND)']
Error: Object 'Federal Intelligence Service (BND)' type 'intelligence agency' does not satisfy the property 'employer' value constraints: ['government organization', 'educational institution', 'television channel', 'radio program', 'radio channel', 'structure of worship', 'legendary figure', 'theatre company', 'airport', 'duo', 'campaign', 'group of humans', 'association', 'periodical', 'mine', 'podcast', 'military base', 'fictional organization', 'fictional company', 'fictional human', 'company', 'anthology', 'fictional location', 'cultural institution', 'manufacturer', 'facility', 'government agency', 'parish', 'organization', 'fictional character', 'administrative territorial entity', 'website', 'television program', 'palace', 'newspaper', 'human']

Triple: ['Federal Intelligence Service (BND)', 'location', 'Pullach']
Error: Relation 'location' not present in subject properties for 'Federal Intelligence Service (BND)'

Unused Declarations:
Triple: ['1961', 'instance of', 'year']
Note: Subject '1961' is not used in other triples.

Triple: ['1963', 'instance of', 'year']
Note: Subject '1963' is not used in other triples.

Triple: ['West South Africa', 'instance of', 'geographic entity']
Note: Subject 'West South Africa' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q166835,"The following triples for the subject 'Q166835' need attention:

Errors:
Triple: ['1951', 'instance of', 'year']
Error: Instance type 'year' not associated with any property for subject '1951'

Triple: ['1955', 'instance of', 'year']
Error: Instance type 'year' not associated with any property for subject '1955'

Triple: ['National Book Award for Poetry', 'year of ceremony', '1951']
Error: Error: Property 'year of ceremony' not found in properties.

Triple: ['National Book Award for Poetry', 'year of ceremony', '1955']
Error: Error: Property 'year of ceremony' not found in properties.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q18379200,"The following triples for the subject 'Q18379200' need attention:

Errors:
Triple: ['Bryan Dechart', 'occupation', 'actor']
Error: Object 'actor' not defined as an instance.

Triple: ['Amelia Rose Blaire', 'occupation', 'actress']
Error: Object 'actress' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q6147567,"The following triples for the subject 'Q6147567' need attention:

Errors:
Triple: ['Jamie Tisch', 'family name', 'Tisch']
Error: Object 'Tisch' not defined as an instance.

Triple: ['Steve Tisch', 'family name', 'Tisch']
Error: Object 'Tisch' not defined as an instance.

Triple: ['Jamie Tisch', 'given name', 'Jamie']
Error: Object 'Jamie' not defined as an instance.

Triple: ['Steve Tisch', 'given name', 'Steve']
Error: Object 'Steve' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q567782,"The following triples for the subject 'Q567782' need attention:

Errors:
Triple: ['Bohdan Paczyński', 'occupation', 'physiology or medicine']
Error: Object 'physiology or medicine' not defined as an instance.

Triple: ['Bohdan Paczyński', 'award received', 'Nobel Prize']
Error: Object 'Nobel Prize' not defined as an instance.

Triple: ['Bohdan Paczyński', 'award received', 'Medicine of the American Astronomical Society']
Error: Object 'Medicine of the American Astronomical Society' not defined as an instance.

Triple: ['Bohdan Paczyński', 'field of work', 'advanced stellar evolution']
Error: Object 'advanced stellar evolution' not defined as an instance.

Triple: ['Bohdan Paczyński', 'field of work', 'nature of gamma ray bursts']
Error: Object 'nature of gamma ray bursts' not defined as an instance.

Triple: ['Bohdan Paczyński', 'field of work', 'accretion in binary systems']
Error: Object 'accretion in binary systems' not defined as an instance.

Triple: ['Bohdan Paczyński', 'field of work', 'gravitational lensing']
Error: Object 'gravitational lensing' not defined as an instance.

Triple: ['Bohdan Paczyński', 'field of work', 'cosmology']
Error: Object 'cosmology' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q4096251,"The following triples for the subject 'Q4096251' need attention:

Errors:
Triple: ['Jim Breyer', 'occupation', 'job']
Error: Object 'job' not defined as an instance.

Triple: ['Arthur Patterson', 'occupation', 'founder']
Error: Object 'founder' not defined as an instance.

Triple: ['Jim Swartz', 'occupation', 'founder']
Error: Object 'founder' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
